Name of Student,GENERAL APPEARANCE,MANNER OF SPEAKING,PHYSICAL CONDITION,MENTAL ALERTNESS,SELF-CONFIDENCE,ABILITY TO PRESENT IDEAS,COMMUNICATION SKILLS,Student Performance Rating,CLASS
Student 1051,4,4,3,4,4,4,4,5,LessEmployable
Student 1052,4,3,4,4,4,3,3,4,LessEmployable
Student 1053,4,3,4,4,3,4,4,5,LessEmployable
Student 1054,3,3,4,4,4,4,4,5,LessEmployable
Student 1055,5,4,4,4,5,4,5,5,LessEmployable
Student 1056,3,3,3,3,4,3,3,3,Employable
Student 1057,3,3,4,3,4,3,3,3,Employable
Student 1058,3,4,3,4,3,4,3,5,Employable
Student 1059,4,4,4,3,4,4,3,4,LessEmployable
Student 1060,5,4,4,3,3,4,4,4,LessEmployable
Student 1061,4,3,2,4,3,4,3,5,LessEmployable
Student 1062,5,5,5,4,5,4,5,5,LessEmployable
Student 1063,4,2,4,4,3,3,3,5,LessEmployable
Student 1064,5,5,5,5,5,5,5,5,LessEmployable
Student 1065,4,3,3,4,3,3,3,3,Employable
Student 1066,5,4,3,3,3,3,2,3,LessEmployable
Student 1067,5,5,5,5,5,4,5,5,Employable
Student 1068,4,5,5,5,5,5,5,3,LessEmployable
Student 1069,4,5,5,3,3,5,3,5,LessEmployable
Student 1070,4,5,3,5,5,5,3,5,Employable
Student 1071,3,5,5,3,5,5,3,5,Employable
Student 1072,3,3,3,3,3,3,3,5,Employable
Student 1073,4,3,4,4,4,3,3,5,Employable
Student 1074,4,3,4,2,2,2,2,5,LessEmployable
Student 1075,3,2,3,3,3,3,3,5,LessEmployable
Student 1076,5,5,4,5,4,5,4,5,LessEmployable
Student 1077,3,4,3,4,3,4,3,5,Employable
Student 1078,4,3,3,3,3,3,3,5,Employable
Student 1079,5,4,4,4,4,4,4,5,Employable
Student 1080,4,4,4,4,4,4,4,4,Employable
Student 1081,4,4,4,4,3,3,3,5,LessEmployable
Student 1082,5,4,5,5,5,5,4,5,LessEmployable
Student 1083,3,4,3,3,3,3,3,5,LessEmployable
Student 1084,4,3,3,3,3,3,3,5,Employable
Student 1085,4,5,4,4,4,4,4,5,LessEmployable
Student 1086,5,4,4,4,4,4,4,5,Employable
Student 1087,5,5,4,5,4,4,5,4,Employable
Student 1088,4,4,4,4,5,5,5,3,Employable
Student 1089,4,3,3,4,3,3,3,5,LessEmployable
Student 1090,4,5,5,5,4,4,4,5,Employable
Student 1091,4,4,4,3,3,4,3,5,Employable
Student 1092,4,4,4,3,3,4,3,5,Employable
Student 1093,4,5,4,5,5,5,5,5,Employable
Student 1094,4,4,4,4,4,4,3,5,Employable
Student 1095,4,3,3,3,3,3,2,5,LessEmployable
Student 1096,3,3,3,2,3,3,3,5,LessEmployable
Student 1097,4,4,3,3,4,4,3,5,Employable
Student 1098,4,4,3,3,3,3,3,5,Employable
Student 1099,4,4,4,3,3,3,3,3,Employable
Student 1100,5,3,3,4,3,3,3,5,Employable
Student 1101,4,4,4,4,4,4,4,5,Employable
Student 1102,4,4,3,4,3,4,4,5,Employable
Student 1103,5,5,5,5,5,5,4,5,LessEmployable
Student 1104,3,4,4,4,3,4,4,5,Employable
Student 1105,4,3,3,2,3,3,2,5,LessEmployable
Student 1106,3,3,3,3,3,2,2,4,LessEmployable
Student 1107,4,4,3,4,4,4,3,5,LessEmployable
Student 1108,3,3,3,3,3,3,3,4,LessEmployable
Student 1109,5,3,3,3,3,3,3,4,LessEmployable
Student 1110,4,4,4,4,4,4,4,5,LessEmployable
Student 1111,4,4,4,5,5,4,4,5,LessEmployable
Student 1112,4,3,3,4,5,4,3,5,LessEmployable
Student 1113,5,4,5,4,4,4,4,5,Employable
Student 1114,5,4,4,4,4,4,4,3,Employable
Student 1115,5,4,5,5,5,5,4,5,Employable
Student 1116,4,3,3,3,5,3,3,3,LessEmployable
Student 1117,5,5,5,5,5,4,4,4,Employable
Student 1118,5,5,4,4,5,5,4,3,Employable
Student 1119,4,4,4,4,3,3,3,3,LessEmployable
Student 1120,5,5,5,5,5,4,4,3,Employable
Student 1121,5,4,4,4,4,5,4,5,Employable
Student 1122,5,5,5,5,5,5,4,5,Employable
Student 1123,4,3,4,4,3,4,3,5,LessEmployable
Student 1124,4,3,4,4,3,3,3,3,LessEmployable
Student 1125,5,5,4,5,5,4,4,5,LessEmployable
Student 1126,4,4,4,5,5,4,3,5,LessEmployable
Student 1127,5,4,5,5,5,5,5,5,Employable
Student 1128,5,3,3,4,5,3,3,3,Employable
Student 1129,5,5,5,5,4,5,4,5,Employable
Student 1130,5,5,4,5,4,5,5,5,Employable
Student 1131,4,4,3,3,3,4,4,3,LessEmployable
Student 1132,5,5,5,5,5,4,4,5,Employable
Student 1133,5,5,5,5,5,4,4,5,Employable
Student 1134,5,4,5,5,5,4,4,3,Employable
Student 1135,5,4,5,5,5,4,4,5,Employable
Student 1136,4,3,4,3,4,3,3,5,LessEmployable
Student 1137,5,4,5,5,4,4,4,5,LessEmployable
Student 1138,5,3,4,4,3,4,3,5,LessEmployable
Student 1139,5,3,3,3,4,3,3,3,LessEmployable
Student 1140,5,4,5,5,5,4,4,5,Employable
Student 1141,5,5,5,5,5,4,4,3,Employable
Student 1142,5,4,5,5,5,4,4,5,Employable
Student 1143,5,5,5,5,5,5,4,5,Employable
Student 1144,5,4,5,5,5,4,4,5,Employable
Student 1145,5,5,5,5,5,5,4,5,Employable
Student 1146,5,4,5,5,4,4,4,3,Employable
Student 1147,5,3,4,4,4,4,3,5,LessEmployable
Student 1148,4,4,4,4,3,4,4,5,LessEmployable
Student 1149,5,4,5,5,5,4,4,4,Employable
Student 1150,4,5,4,4,4,5,4,5,Employable
Student 1151,4,3,3,3,3,3,3,5,Employable
Student 1152,4,4,4,4,5,4,4,5,LessEmployable
Student 1153,3,3,3,4,3,3,3,5,Employable
Student 1154,4,4,4,3,3,3,3,5,Employable
Student 1155,4,4,4,3,4,3,3,4,LessEmployable
Student 1156,4,4,4,4,4,4,4,4,Employable
Student 1157,3,3,3,4,3,3,3,5,Employable
Student 1158,5,5,3,5,3,5,5,5,Employable
Student 1159,4,4,4,4,4,4,4,5,Employable
Student 1160,4,5,5,5,5,5,5,5,Employable
Student 1161,4,4,4,4,4,4,4,4,Employable
Student 1162,4,3,3,3,3,3,3,5,Employable
Student 1163,3,4,3,4,3,4,3,5,Employable
Student 1164,4,4,4,4,4,4,4,5,LessEmployable
Student 1165,4,3,3,3,4,3,4,5,LessEmployable
Student 1166,4,4,4,4,3,4,3,4,Employable
Student 1167,3,4,4,4,3,4,3,5,Employable
Student 1168,5,4,4,4,4,4,4,5,Employable
Student 1169,4,4,4,3,3,4,4,5,Employable
Student 1170,3,4,4,3,4,4,3,5,LessEmployable
Student 1171,4,3,2,3,2,2,3,5,Employable
Student 1172,4,3,4,3,4,3,3,4,Employable
Student 1173,4,4,3,4,3,4,3,5,LessEmployable
Student 1174,4,4,4,4,3,3,3,5,Employable
Student 1175,5,3,3,4,3,3,3,4,LessEmployable
Student 1176,4,3,3,3,3,3,2,5,Employable
Student 1177,3,4,4,4,4,4,4,5,Employable
Student 1178,4,5,4,5,4,4,4,5,Employable
Student 1179,4,4,4,3,4,4,3,5,LessEmployable
Student 1180,4,4,4,4,3,4,4,5,Employable
Student 1181,5,5,5,5,5,5,4,5,Employable
Student 1182,3,3,3,3,3,2,2,4,Employable
Student 1183,4,4,4,4,4,4,3,5,LessEmployable
Student 1184,4,4,4,4,4,4,4,5,LessEmployable
Student 1185,4,3,3,3,3,3,2,5,Employable
Student 1186,5,4,4,4,4,4,4,4,Employable
Student 1187,3,3,3,3,3,3,3,5,LessEmployable
Student 1188,4,3,4,3,3,3,3,5,Employable
Student 1189,4,3,4,3,3,3,2,5,Employable
Student 1190,2,2,3,3,3,3,3,5,LessEmployable
Student 1191,4,4,3,4,3,4,3,4,LessEmployable
Student 1192,4,4,4,3,3,4,3,5,Employable
Student 1193,4,4,5,4,4,4,4,5,LessEmployable
Student 1194,5,4,4,4,4,3,3,5,LessEmployable
Student 1195,4,4,4,4,3,4,3,5,LessEmployable
Student 1196,4,4,4,4,4,4,4,5,LessEmployable
Student 1197,4,5,4,4,4,4,4,5,LessEmployable
Student 1198,5,5,4,5,5,5,5,5,Employable
Student 1199,4,4,4,4,4,4,4,5,Employable
Student 1200,5,4,4,4,4,4,3,4,LessEmployable
Student 1201,5,4,4,4,4,4,3,3,LessEmployable
Student 1202,5,5,4,4,5,4,5,3,LessEmployable
Student 1203,5,4,4,4,4,4,3,5,Employable
Student 1204,5,4,4,4,4,4,3,5,Employable
Student 1205,5,5,4,4,5,4,4,5,Employable
Student 1206,4,3,4,4,4,3,3,4,Employable
Student 1207,5,4,3,3,3,4,4,5,LessEmployable
Student 1208,5,5,5,5,5,5,5,5,Employable
Student 1209,5,4,5,5,5,5,4,5,Employable
Student 1210,5,4,5,5,5,5,4,5,Employable
Student 1211,5,3,5,4,4,3,3,5,Employable
Student 1212,5,4,5,5,5,4,4,4,Employable
Student 1213,5,3,5,4,4,4,3,4,LessEmployable
Student 1214,5,5,5,5,5,4,3,4,Employable
Student 1215,5,5,5,5,5,5,3,5,Employable
Student 1216,5,4,4,4,4,4,4,5,LessEmployable
Student 1217,4,3,4,4,4,3,3,5,LessEmployable
Student 1218,4,4,4,4,4,4,3,5,LessEmployable
Student 1219,4,4,5,4,4,4,3,5,LessEmployable
Student 1220,5,3,5,4,5,5,3,5,Employable
Student 1221,5,3,3,3,3,3,2,5,Employable
Student 1222,4,3,4,3,4,3,4,4,Employable
Student 1223,4,3,4,4,4,3,3,3,Employable
Student 1224,4,3,3,2,3,2,3,4,Employable
Student 1225,5,5,5,5,5,5,4,5,LessEmployable
Student 1226,4,3,4,3,4,3,4,5,LessEmployable
Student 1227,3,3,4,4,4,3,3,4,LessEmployable
Student 1228,4,3,4,4,4,3,3,5,Employable
Student 1229,4,4,4,4,4,3,3,5,Employable
Student 1230,4,4,5,5,4,5,5,5,LessEmployable
Student 1231,4,5,5,5,5,4,5,5,Employable
Student 1232,4,5,5,5,5,4,5,5,Employable
Student 1233,4,4,3,4,4,4,4,5,LessEmployable
Student 1234,4,3,4,4,4,3,3,4,LessEmployable
Student 1235,4,3,4,4,3,4,4,5,LessEmployable
Student 1236,3,3,4,4,4,4,4,5,LessEmployable
Student 1237,5,4,4,4,5,4,5,5,LessEmployable
Student 1238,3,3,3,3,4,3,3,3,Employable
Student 1239,3,3,4,3,4,3,3,3,Employable
Student 1240,3,4,3,4,3,4,3,5,Employable
Student 1241,4,4,4,3,4,4,3,4,LessEmployable
Student 1242,5,4,4,3,3,4,4,4,LessEmployable
Student 1243,4,3,2,4,3,4,3,5,LessEmployable
Student 1244,5,5,5,4,5,4,5,5,LessEmployable
Student 1245,4,2,4,4,3,3,3,5,LessEmployable
Student 1246,5,5,5,5,5,5,5,5,LessEmployable
Student 1247,4,3,3,4,3,3,3,3,Employable
Student 1248,5,4,3,3,3,3,2,3,LessEmployable
Student 1249,5,5,5,5,5,4,5,5,Employable
Student 1250,4,5,5,5,5,5,5,3,LessEmployable
Student 1251,4,5,5,3,3,5,3,5,LessEmployable
Student 1252,4,5,3,5,5,5,3,5,Employable
Student 1253,3,5,5,3,5,5,3,5,Employable
Student 1254,3,3,3,3,3,3,3,5,Employable
Student 1255,4,3,4,4,4,3,3,5,Employable
Student 1256,4,3,4,2,2,2,2,5,LessEmployable
Student 1257,3,2,3,3,3,3,3,5,LessEmployable
Student 1258,5,5,4,5,4,5,4,5,LessEmployable
Student 1259,3,4,3,4,3,4,3,5,Employable
Student 1260,4,3,3,3,3,3,3,5,Employable
Student 1261,5,4,4,4,4,4,4,5,Employable
Student 1262,4,4,4,4,4,4,4,4,Employable
Student 1263,4,4,4,4,3,3,3,5,LessEmployable
Student 1264,5,4,5,5,5,5,4,5,LessEmployable
Student 1265,3,4,3,3,3,3,3,5,LessEmployable
Student 1266,4,3,3,3,3,3,3,5,Employable
Student 1267,4,5,4,4,4,4,4,5,LessEmployable
Student 1268,5,4,4,4,4,4,4,5,Employable
Student 1269,5,5,4,5,4,4,5,4,Employable
Student 1270,4,4,4,4,5,5,5,3,Employable
Student 1271,4,3,3,4,3,3,3,5,LessEmployable
Student 1272,4,5,5,5,4,4,4,5,Employable
Student 1273,4,4,4,3,3,4,3,5,Employable
Student 1274,4,4,4,3,3,4,3,5,Employable
Student 1275,4,5,4,5,5,5,5,5,Employable
Student 1276,4,4,4,4,4,4,3,5,Employable
Student 1277,4,3,3,3,3,3,2,5,LessEmployable
Student 1278,3,3,3,2,3,3,3,5,LessEmployable
Student 1279,4,4,3,3,4,4,3,5,Employable
Student 1280,4,4,3,3,3,3,3,5,Employable
Student 1281,4,4,4,3,3,3,3,3,Employable
Student 1282,5,3,3,4,3,3,3,5,Employable
Student 1283,4,4,4,4,4,4,4,5,Employable
Student 1284,4,4,3,4,3,4,4,5,Employable
Student 1285,5,5,5,5,5,5,4,5,LessEmployable
Student 1286,3,4,4,4,3,4,4,5,Employable
Student 1287,4,3,3,2,3,3,2,5,LessEmployable
Student 1288,3,3,3,3,3,2,2,4,LessEmployable
Student 1289,4,4,3,4,4,4,3,5,LessEmployable
Student 1290,3,3,3,3,3,3,3,4,LessEmployable
Student 1291,5,3,3,3,3,3,3,4,LessEmployable
Student 1292,4,4,4,4,4,4,4,5,LessEmployable
Student 1293,4,4,4,5,5,4,4,5,LessEmployable
Student 1294,4,3,3,4,5,4,3,5,LessEmployable
Student 1295,5,4,5,4,4,4,4,5,Employable
Student 1296,5,4,4,4,4,4,4,3,Employable
Student 1297,5,4,5,5,5,5,4,5,Employable
Student 1298,4,3,3,3,5,3,3,3,LessEmployable
Student 1299,5,5,5,5,5,4,4,4,Employable
Student 1300,5,5,4,4,5,5,4,3,Employable
Student 1301,4,4,4,4,3,3,3,3,LessEmployable
Student 1302,5,5,5,5,5,4,4,3,Employable
Student 1303,5,4,4,4,4,5,4,5,Employable
Student 1304,5,5,5,5,5,5,4,5,Employable
Student 1305,4,3,4,4,3,4,3,5,LessEmployable
Student 1306,4,3,4,4,3,3,3,3,LessEmployable
Student 1307,5,5,4,5,5,4,4,5,LessEmployable
Student 1308,4,4,4,5,5,4,3,5,LessEmployable
Student 1309,5,4,5,5,5,5,5,5,Employable
Student 1310,5,3,3,4,5,3,3,3,Employable
Student 1311,5,5,5,5,4,5,4,5,Employable
Student 1312,5,5,4,5,4,5,5,5,Employable
Student 1313,4,4,3,3,3,4,4,3,LessEmployable
Student 1314,5,5,5,5,5,4,4,5,Employable
Student 1315,5,5,5,5,5,4,4,5,Employable
Student 1316,5,4,5,5,5,4,4,3,Employable
Student 1317,5,4,5,5,5,4,4,5,Employable
Student 1318,4,3,4,3,4,3,3,5,LessEmployable
Student 1319,5,4,5,5,4,4,4,5,LessEmployable
Student 1320,5,3,4,4,3,4,3,5,LessEmployable
Student 1321,5,3,3,3,4,3,3,3,LessEmployable
Student 1322,5,4,5,5,5,4,4,5,Employable
Student 1323,5,5,5,5,5,4,4,3,Employable
Student 1324,5,4,5,5,5,4,4,5,Employable
Student 1325,5,5,5,5,5,5,4,5,Employable
Student 1326,5,4,5,5,5,4,4,5,Employable
Student 1327,5,5,5,5,5,5,4,5,Employable
Student 1328,5,4,5,5,4,4,4,3,Employable
Student 1329,5,3,4,4,4,4,3,5,LessEmployable
Student 1330,4,4,4,4,3,4,4,5,LessEmployable
Student 1331,5,4,5,5,5,4,4,4,Employable
Student 1332,4,5,4,4,4,5,4,5,Employable
Student 1333,4,3,3,3,3,3,3,5,Employable
Student 1334,4,4,4,4,5,4,4,5,LessEmployable
Student 1335,3,3,3,4,3,3,3,5,Employable
Student 1336,4,4,4,3,3,3,3,5,Employable
Student 1337,4,4,4,3,4,3,3,4,LessEmployable
Student 1338,4,4,4,4,4,4,4,4,Employable
Student 1339,3,3,3,4,3,3,3,5,Employable
Student 1340,5,5,3,5,3,5,5,5,Employable
Student 1341,4,4,4,4,4,4,4,5,Employable
Student 1342,4,5,5,5,5,5,5,5,Employable
Student 1343,4,4,4,4,4,4,4,4,Employable
Student 1344,4,3,3,3,3,3,3,5,Employable
Student 1345,3,4,3,4,3,4,3,5,Employable
Student 1346,4,4,4,4,4,4,4,5,LessEmployable
Student 1347,4,3,3,3,4,3,4,5,LessEmployable
Student 1348,4,4,4,4,3,4,3,4,Employable
Student 1349,3,4,4,4,3,4,3,5,Employable
Student 1350,5,4,4,4,4,4,4,5,Employable
Student 1351,4,4,4,3,3,4,4,5,Employable
Student 1352,3,4,4,3,4,4,3,5,LessEmployable
Student 1353,4,3,2,3,2,2,3,5,Employable
Student 1354,4,3,4,3,4,3,3,4,Employable
Student 1355,4,4,3,4,3,4,3,5,LessEmployable
Student 1356,4,4,4,4,3,3,3,5,Employable
Student 1357,5,3,3,4,3,3,3,4,LessEmployable
Student 1358,4,3,3,3,3,3,2,5,Employable
Student 1359,3,4,4,4,4,4,4,5,Employable
Student 1360,4,5,4,5,4,4,4,5,Employable
Student 1361,4,4,4,3,4,4,3,5,LessEmployable
Student 1362,4,4,4,4,3,4,4,5,Employable
Student 1363,5,5,5,5,5,5,4,5,Employable
Student 1364,3,3,3,3,3,2,2,4,Employable
Student 1365,4,4,4,4,4,4,3,5,LessEmployable
Student 1366,4,4,4,4,4,4,4,5,LessEmployable
Student 1367,4,3,3,3,3,3,2,5,Employable
Student 1368,5,4,4,4,4,4,4,4,Employable
Student 1369,3,3,3,3,3,3,3,5,LessEmployable
Student 1370,4,3,4,3,3,3,3,5,Employable
Student 1371,4,3,4,3,3,3,2,5,Employable
Student 1372,2,2,3,3,3,3,3,5,LessEmployable
Student 1373,4,4,3,4,3,4,3,4,LessEmployable
Student 1374,4,4,4,3,3,4,3,5,Employable
Student 1375,4,4,5,4,4,4,4,5,LessEmployable
Student 1376,5,4,4,4,4,3,3,5,LessEmployable
Student 1377,4,4,4,4,3,4,3,5,LessEmployable
Student 1378,4,4,4,4,4,4,4,5,LessEmployable
Student 1379,4,5,4,4,4,4,4,5,LessEmployable
Student 1380,5,5,4,5,5,5,5,5,Employable
Student 1381,4,4,4,4,4,4,4,5,Employable
Student 1382,5,4,4,4,4,4,3,4,LessEmployable
Student 1383,5,4,4,4,4,4,3,3,LessEmployable
Student 1384,5,5,4,4,5,4,5,3,LessEmployable
Student 1385,5,4,4,4,4,4,3,5,Employable
Student 1386,5,4,4,4,4,4,3,5,Employable
Student 1387,5,5,4,4,5,4,4,5,Employable
Student 1388,4,3,4,4,4,3,3,4,Employable
Student 1389,5,4,3,3,3,4,4,5,LessEmployable
Student 1390,5,5,5,5,5,5,5,5,Employable
Student 1391,5,4,5,5,5,5,4,5,Employable
Student 1392,5,4,5,5,5,5,4,5,Employable
Student 1393,5,3,5,4,4,3,3,5,Employable
Student 1394,5,4,5,5,5,4,4,4,Employable
Student 1395,5,3,5,4,4,4,3,4,LessEmployable
Student 1396,5,5,5,5,5,4,3,4,Employable
Student 1397,5,5,5,5,5,5,3,5,Employable
Student 1398,5,4,4,4,4,4,4,5,LessEmployable
Student 1399,4,3,4,4,4,3,3,5,LessEmployable
Student 1400,4,4,4,4,4,4,3,5,LessEmployable
Student 1401,4,4,5,4,4,4,3,5,LessEmployable
Student 1402,5,3,5,4,5,5,3,5,Employable
Student 1403,5,3,3,3,3,3,2,5,Employable
Student 1404,4,3,4,3,4,3,4,4,Employable
Student 1405,4,3,4,4,4,3,3,3,Employable
Student 1406,4,3,3,2,3,2,3,4,Employable
Student 1407,5,5,5,5,5,5,4,5,LessEmployable
Student 1408,4,3,4,3,4,3,4,5,LessEmployable
Student 1409,3,3,4,4,4,3,3,4,LessEmployable
Student 1410,4,3,4,4,4,3,3,5,Employable
Student 1411,4,4,4,4,4,3,3,5,Employable
Student 1412,4,4,5,5,4,5,5,5,LessEmployable
Student 1413,4,5,5,5,5,4,5,5,Employable
Student 1414,4,5,5,5,5,4,5,5,Employable
Student 1415,4,4,3,4,4,4,4,5,LessEmployable
Student 1416,4,3,4,4,4,3,3,4,LessEmployable
Student 1417,4,3,4,4,3,4,4,5,LessEmployable
Student 1418,3,3,4,4,4,4,4,5,LessEmployable
Student 1419,5,4,4,4,5,4,5,5,LessEmployable
Student 1420,3,3,3,3,4,3,3,3,Employable
Student 1421,3,3,4,3,4,3,3,3,Employable
Student 1422,3,4,3,4,3,4,3,5,Employable
Student 1423,4,4,4,3,4,4,3,4,LessEmployable
Student 1424,5,4,4,3,3,4,4,4,LessEmployable
Student 1425,4,3,2,4,3,4,3,5,LessEmployable
Student 1426,5,5,5,4,5,4,5,5,LessEmployable
Student 1427,4,2,4,4,3,3,3,5,LessEmployable
Student 1428,5,5,5,5,5,5,5,5,LessEmployable
Student 1429,4,3,3,4,3,3,3,3,Employable
Student 1430,5,4,3,3,3,3,2,3,LessEmployable
Student 1431,5,5,5,5,5,4,5,5,Employable
Student 1432,4,5,5,5,5,5,5,3,LessEmployable
Student 1433,4,5,5,3,3,5,3,5,LessEmployable
Student 1434,4,5,3,5,5,5,3,5,Employable
Student 1435,3,5,5,3,5,5,3,5,Employable
Student 1436,3,3,3,3,3,3,3,5,Employable
Student 1437,4,3,4,4,4,3,3,5,Employable
Student 1438,4,3,4,2,2,2,2,5,LessEmployable
Student 1439,3,2,3,3,3,3,3,5,LessEmployable
Student 1440,5,5,4,5,4,5,4,5,LessEmployable
Student 1441,3,4,3,4,3,4,3,5,Employable
Student 1442,4,3,3,3,3,3,3,5,Employable
Student 1443,5,4,4,4,4,4,4,5,Employable
Student 1444,4,4,4,4,4,4,4,4,Employable
Student 1445,4,4,4,4,3,3,3,5,LessEmployable
Student 1446,5,4,5,5,5,5,4,5,LessEmployable
Student 1447,3,4,3,3,3,3,3,5,LessEmployable
Student 1448,4,3,3,3,3,3,3,5,Employable
Student 1449,4,5,4,4,4,4,4,5,LessEmployable
Student 1450,5,4,4,4,4,4,4,5,Employable
Student 1451,5,5,4,5,4,4,5,4,Employable
Student 1452,4,4,4,4,5,5,5,3,Employable
Student 1453,4,3,3,4,3,3,3,5,LessEmployable
Student 1454,4,5,5,5,4,4,4,5,Employable
Student 1455,4,4,4,3,3,4,3,5,Employable
Student 1456,4,4,4,3,3,4,3,5,Employable
Student 1457,4,5,4,5,5,5,5,5,Employable
Student 1458,4,4,4,4,4,4,3,5,Employable
Student 1459,4,3,3,3,3,3,2,5,LessEmployable
Student 1460,3,3,3,2,3,3,3,5,LessEmployable
Student 1461,4,4,3,3,4,4,3,5,Employable
Student 1462,4,4,3,3,3,3,3,5,Employable
Student 1463,4,4,4,3,3,3,3,3,Employable
Student 1464,5,3,3,4,3,3,3,5,Employable
Student 1465,4,4,4,4,4,4,4,5,Employable
Student 1466,4,4,3,4,3,4,4,5,Employable
Student 1467,5,5,5,5,5,5,4,5,LessEmployable
Student 1468,3,4,4,4,3,4,4,5,Employable
Student 1469,4,3,3,2,3,3,2,5,LessEmployable
Student 1470,3,3,3,3,3,2,2,4,LessEmployable
Student 1471,4,4,3,4,4,4,3,5,LessEmployable
Student 1472,3,3,3,3,3,3,3,4,LessEmployable
Student 1473,5,3,3,3,3,3,3,4,LessEmployable
Student 1474,4,4,4,4,4,4,4,5,LessEmployable
Student 1475,4,4,4,5,5,4,4,5,LessEmployable
Student 1476,4,3,3,4,5,4,3,5,LessEmployable
Student 1477,5,4,5,4,4,4,4,5,Employable
Student 1478,5,4,4,4,4,4,4,3,Employable
Student 1479,5,4,5,5,5,5,4,5,Employable
Student 1480,4,3,3,3,5,3,3,3,LessEmployable
Student 1481,5,5,5,5,5,4,4,4,Employable
Student 1482,5,5,4,4,5,5,4,3,Employable
Student 1483,4,4,4,4,3,3,3,3,LessEmployable
Student 1484,5,5,5,5,5,4,4,3,Employable
Student 1485,5,4,4,4,4,5,4,5,Employable
Student 1486,5,5,5,5,5,5,4,5,Employable
Student 1487,4,3,4,4,3,4,3,5,LessEmployable
Student 1488,4,3,4,4,3,3,3,3,LessEmployable
Student 1489,5,5,4,5,5,4,4,5,LessEmployable
Student 1490,4,4,4,5,5,4,3,5,LessEmployable
